Date,date,Diff
2019-08-12,20190812,-1.0
2019-08-13,20190813,-1.0
2019-08-14,20190814,1.0
2019-08-15,20190815,-1.0
2019-08-16,20190816,-1.0
2019-08-19,20190819,1.0
2019-08-20,20190820,1.0
2019-08-21,20190821,-1.0
2019-08-22,20190822,-1.0
2019-08-23,20190823,-1.0
2019-08-26,20190826,-1.0
2019-08-27,20190827,1.0
2019-08-28,20190828,-1.0
2019-08-29,20190829,1.0
2019-08-30,20190830,1.0
2019-09-03,20190903,1.0
2019-09-04,20190904,1.0
2019-09-05,20190905,-1.0
2019-09-06,20190906,1.0
2019-09-09,20190909,1.0
2019-09-10,20190910,1.0
2019-09-11,20190911,1.0
2019-09-12,20190912,1.0
2019-09-13,20190913,-1.0
2019-09-16,20190916,1.0
2019-09-17,20190917,-1.0
2019-09-18,20190918,1.0
2019-09-19,20190919,1.0
2019-09-20,20190920,1.0
2019-09-23,20190923,-1.0
2019-09-24,20190924,1.0
2019-09-25,20190925,-1.0
2019-09-26,20190926,1.0
2019-09-27,20190927,1.0
2019-09-30,20190930,1.0
2019-10-01,20191001,-1.0
2019-10-02,20191002,1.0
2019-10-03,20191003,-1.0
2019-10-04,20191004,-1.0
2019-10-07,20191007,-1.0
2019-10-08,20191008,1.0
2019-10-09,20191009,1.0
2019-10-10,20191010,1.0
2019-10-11,20191011,1.0
2019-10-14,20191014,1.0
2019-10-15,20191015,1.0
2019-10-16,20191016,1.0
2019-10-17,20191017,1.0
2019-10-18,20191018,1.0
2019-10-21,20191021,-1.0
2019-10-22,20191022,-1.0
2019-10-23,20191023,1.0
2019-10-24,20191024,1.0
2019-10-25,20191025,1.0
2019-10-28,20191028,1.0
2019-10-29,20191029,-1.0
2019-10-30,20191030,-1.0
2019-10-31,20191031,-1.0
2019-11-01,20191101,1.0
2019-11-04,20191104,-1.0
2019-11-05,20191105,1.0
2019-11-06,20191106,1.0
2019-11-07,20191107,1.0
2019-11-08,20191108,1.0
2019-11-11,20191111,1.0
2019-11-12,20191112,1.0
2019-11-13,20191113,1.0
2019-11-14,20191114,-1.0
2019-11-15,20191115,1.0
2019-11-18,20191118,1.0
2019-11-19,20191119,-1.0
2019-11-20,20191120,1.0
2019-11-21,20191121,-1.0
2019-11-22,20191122,-1.0
2019-11-25,20191125,-1.0
2019-11-26,20191126,1.0
2019-11-27,20191127,-1.0
2019-11-29,20191129,1.0
2019-12-02,20191202,-1.0
2019-12-03,20191203,1.0
2019-12-04,20191204,1.0
2019-12-05,20191205,-1.0
2019-12-06,20191206,1.0
2019-12-09,20191209,1.0
2019-12-10,20191210,1.0
2019-12-11,20191211,1.0
2019-12-12,20191212,1.0
2019-12-13,20191213,1.0
2019-12-16,20191216,1.0
2019-12-17,20191217,1.0
2019-12-18,20191218,-1.0
2019-12-19,20191219,1.0
2019-12-20,20191220,1.0
2019-12-23,20191223,1.0
2019-12-24,20191224,1.0
2019-12-26,20191226,1.0
2019-12-27,20191227,1.0
2019-12-30,20191230,-1.0
2019-12-31,20191231,-1.0
2020-01-02,20200102,1.0
2020-01-03,20200103,1.0
2020-01-06,20200106,1.0
2020-01-07,20200107,1.0
2020-01-08,20200108,1.0
2020-01-09,20200109,1.0
2020-01-10,20200110,-1.0
2020-01-13,20200113,1.0
2020-01-14,20200114,1.0
2020-01-15,20200115,1.0
2020-01-16,20200116,-1.0
2020-01-17,20200117,-1.0
2020-01-21,20200121,1.0
2020-01-22,20200122,1.0
2020-01-23,20200123,1.0
2020-01-24,20200124,1.0
2020-01-27,20200127,-1.0
2020-01-28,20200128,1.0
2020-01-29,20200129,1.0
2020-01-30,20200130,1.0
2020-01-31,20200131,1.0
2020-02-03,20200203,1.0
2020-02-04,20200204,1.0
2020-02-05,20200205,1.0
2020-02-06,20200206,-1.0
2020-02-07,20200207,-1.0
2020-02-10,20200210,1.0
2020-02-11,20200211,1.0
2020-02-12,20200212,1.0
2020-02-13,20200213,-1.0
2020-02-14,20200214,1.0
2020-02-18,20200218,1.0
2020-02-19,20200219,1.0
2020-02-20,20200220,1.0
2020-02-21,20200221,-1.0
2020-02-24,20200224,-1.0
2020-02-25,20200225,-1.0
2020-02-26,20200226,-1.0
2020-02-27,20200227,-1.0
2020-02-28,20200228,-1.0
2020-03-02,20200302,1.0
2020-03-03,20200303,1.0
2020-03-04,20200304,1.0
2020-03-05,20200305,-1.0
2020-03-06,20200306,-1.0
2020-03-09,20200309,-1.0
2020-03-10,20200310,-1.0
2020-03-11,20200311,1.0
2020-03-12,20200312,-1.0
2020-03-13,20200313,-1.0
2020-03-16,20200316,-1.0
2020-03-17,20200317,-1.0
2020-03-18,20200318,-1.0
2020-03-19,20200319,-1.0
2020-03-20,20200320,1.0
2020-03-23,20200323,1.0
2020-03-24,20200324,1.0
2020-03-25,20200325,1.0
2020-03-26,20200326,1.0
2020-03-27,20200327,-1.0
2020-03-30,20200330,-1.0
2020-03-31,20200331,-1.0
2020-04-01,20200401,1.0
2020-04-02,20200402,-1.0
2020-04-03,20200403,1.0
2020-04-06,20200406,1.0
2020-04-07,20200407,1.0
2020-04-08,20200408,1.0
2020-04-09,20200409,1.0
2020-04-13,20200413,1.0
2020-04-14,20200414,1.0
2020-04-15,20200415,1.0
2020-04-16,20200416,1.0
2020-04-17,20200417,1.0
2020-04-20,20200420,-1.0
2020-04-21,20200421,-1.0
2020-04-22,20200422,-1.0
2020-04-23,20200423,1.0
2020-04-24,20200424,-1.0
2020-04-27,20200427,1.0
2020-04-28,20200428,1.0
2020-04-29,20200429,-1.0
2020-04-30,20200430,1.0
2020-05-01,20200501,-1.0
2020-05-04,20200504,-1.0
2020-05-05,20200505,1.0
2020-05-06,20200506,1.0
2020-05-07,20200507,1.0
2020-05-08,20200508,1.0
2020-05-11,20200511,1.0
2020-05-12,20200512,1.0
2020-05-13,20200513,1.0
2020-05-14,20200514,-1.0
2020-05-15,20200515,-1.0
2020-05-18,20200518,1.0
2020-05-19,20200519,1.0
2020-05-20,20200520,1.0
2020-05-21,20200521,1.0
2020-05-22,20200522,1.0
2020-05-26,20200526,1.0
2020-05-27,20200527,1.0
2020-05-28,20200528,-1.0
2020-05-29,20200529,-1.0
2020-06-01,20200601,1.0
2020-06-02,20200602,1.0
2020-06-03,20200603,-1.0
2020-06-04,20200604,1.0
2020-06-05,20200605,-1.0
2020-06-08,20200608,1.0
2020-06-09,20200609,1.0
2020-06-10,20200610,1.0
2020-06-11,20200611,1.0
2020-06-12,20200612,-1.0
2020-06-15,20200615,-1.0
2020-06-16,20200616,1.0
2020-06-17,20200617,-1.0
2020-06-18,20200618,1.0
2020-06-19,20200619,1.0
2020-06-22,20200622,-1.0
2020-06-23,20200623,-1.0
2020-06-24,20200624,-1.0
2020-06-25,20200625,-1.0
2020-06-26,20200626,1.0
2020-06-29,20200629,-1.0
2020-06-30,20200630,1.0
2020-07-01,20200701,1.0
2020-07-02,20200702,1.0
2020-07-06,20200706,1.0
2020-07-07,20200707,1.0
2020-07-08,20200708,1.0
2020-07-09,20200709,1.0
2020-07-10,20200710,1.0
2020-07-13,20200713,1.0
2020-07-14,20200714,1.0
2020-07-15,20200715,1.0
2020-07-16,20200716,-1.0
2020-07-17,20200717,-1.0
2020-07-20,20200720,1.0
2020-07-21,20200721,1.0
2020-07-22,20200722,-1.0
2020-07-23,20200723,1.0
2020-07-24,20200724,-1.0
2020-07-27,20200727,-1.0
2020-07-28,20200728,1.0
2020-07-29,20200729,-1.0
2020-07-30,20200730,1.0
2020-07-31,20200731,1.0
2020-08-03,20200803,-1.0
